Clusters,Name,Year,HR,H,AB,SB,RBI,R,Value Cluster
8,Ozzie Albies,2019.0,24.0,189.0,640.0,15.0,86.0,102.0,12.0
9,A.J. Pollock,2019.0,15.0,82.0,308.0,5.0,47.0,49.0,11.0
5,Jorge Soler,2019.0,48.0,156.0,589.0,3.0,117.0,95.0,10.0
6,Jordan Luplow,2019.0,15.0,62.0,225.0,3.0,38.0,42.0,9.0
2,Jean Segura,2019.0,12.0,161.0,576.0,10.0,60.0,79.0,8.0
0,Marwin Gonzalez,2019.0,15.0,112.0,425.0,1.0,55.0,52.0,7.0
11,Rowdy Tellez,2019.0,21.0,84.0,370.0,1.0,54.0,49.0,6.0
3,Garrett Hampson,2019.0,8.0,74.0,299.0,15.0,27.0,40.0,5.0
4,Pedro Severino,2019.0,13.0,76.0,305.0,3.0,44.0,37.0,4.0
10,Joey Votto,2019.0,15.0,137.0,525.0,5.0,47.0,79.0,3.0
1,Yasmani Grandal,2019.0,28.0,126.0,513.0,5.0,77.0,79.0,2.0
7,Jeimer Candelario,2019.0,8.0,68.0,335.0,3.0,32.0,33.0,1.0
