Clusters,Name,Year,HR.Normalize,ER.Normalize,BB.Normalize,H.Normalize,SO.Normalize,Value Cluster
10,Manny Banuelos,2019.0,-24.0,-78.0,-66.0,-96.0,87.0,1.0
8,Eddie Butler,2016.0,-21.0,-80.0,-33.0,-116.0,73.0,2.0
13,Sammy Solis,2018.0,-18.0,-72.0,-47.0,-93.0,112.0,3.0
4,Alec Asher,2017.0,-17.0,-59.0,-39.0,-85.0,78.0,4.0
12,Derek Holland,2016.0,-15.0,-56.0,-33.0,-95.0,62.0,5.0
0,Michael Wacha,2016.0,-11.0,-57.0,-33.0,-105.0,82.0,6.0
11,Adam Wainwright,2018.0,-13.0,-50.0,-45.0,-90.0,99.0,7.0
3,Mike Dunn,2017.0,-16.0,-50.0,-56.0,-70.0,113.0,8.0
2,Joe Musgrove,2016.0,-15.0,-46.0,-26.0,-81.0,88.0,9.0
7,Blaine Hardy,2018.0,-12.0,-40.0,-26.0,-81.0,76.0,10.0
15,Michael Wacha,2018.0,-11.0,-36.0,-43.0,-71.0,84.0,11.0
5,Eduardo Rodriguez,2018.0,-13.0,-43.0,-35.0,-80.0,113.0,12.0
1,Danny Salazar,2017.0,-14.0,-48.0,-43.0,-78.0,140.0,13.0
9,Corey Kluber,2016.0,-11.0,-35.0,-27.0,-69.0,105.0,14.0
14,Hector Neris,2016.0,-12.0,-29.0,-38.0,-63.0,127.0,15.0
6,Ken Giles,2019.0,-10.0,-21.0,-33.0,-59.0,156.0,16.0
